municipality,name,facility_type,address,neighborhood,cep,phone,email,opening_hours,categories,source
Abadia dos Dourados,CRAS Casa das Famílias (Abadia dos Dourados),CRAS,"Rua Ilidio Duarte, 10",Vila Duarte,38540-000,(34) 38471147,crasabadia@gmail.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Abaeté,CRAS Abaeté,CRAS,"Rua Joaquim Pereira, 671",São João,35620-000,(37) 999559354,crasabaete@yahoo.com.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Abre Campo,"CRAS ""Samuel Alves de Carvalho"" (Abre Campo)",CRAS,"Largo Cras, 1004",Cachoeira da Conquista,35365-000,(31) 38721202,cras@abrecampo.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Acaiaca,CRAS Acaiaca,CRAS,"Avenida Marginal Sul, 80",Centro,35438-000,(31) 38871665,crasoficial@acaiaca.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Açucena,CRAS Açucena,CRAS,"Rua Demerval Pimenta, 37",Centro,35147-000,(33) 32981520,cras@acucena.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Água Boa,CRAS Água Boa,CRAS,"Rua Emilio Vasconcelos, 133",Centro,39790-000,(33) 35151817,assistenciasocial@aguaboa.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Água Comprida,CRAS Água Comprida,CRAS,"Rua 26, 160",Centro,38110-000,(34) 33241382,cras@pmaguacomprida.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Aguanil,CRAS Aguanil,CRAS,"Rua centro, 35",Ibraim José Abraão,37273-000,(35) 38341220,crasaguanil2012@hotmail.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Águas Formosas,CRAS Águas Formosas,CRAS,"Rua Nanuque, 139",Centro,39880-000,(33) 36112195,paifaf@hotmail.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Águas Vermelhas,CRAS Casa das Familias (Águas Vermelhas),CRAS,"Rua Sao Vicente, 42",Centro,39990-000,(33) 37551490,crasaguasv@gmail.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Aimorés,CRAS Aimorés,CRAS,"Avenida Raul Soares, 812",Centro,35200-000,(33) 32671671,coordenacaocras@aimores.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Aiuruoca,CRAS Paulo Roberto Benfica Varginha (Aiuruoca),CRAS,"Rua Joaquim Corrêa de Lima, 22",Vila Dr. Julinho,37450-000,(35) 33441453,cras@aiuruoca.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Alagoa,CRAS Alagoa,CRAS,"Praça Anísio Mendes da Fonseca, 1",Centro,37458-000,(35) 33661302,cras@alagoa.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Albertina,CRAS Albertina,CRAS,Praça Epaminondas Brum,Jardim dos Ipes,37596-000,(35) 34461233,social@albertina.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Além Paraíba,CRAS Angustura (Além Paraíba),CRAS,"Rua Doutor Getulio Vargas, 105",Angustura,36660-000,(32) 34665150,cras.angustura@alemparaiba.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Além Paraíba,CRAS Central (Além Paraíba),CRAS,"Rua Capitão Medeiros de Rezende, 188",Praça da Bandeira,36660-000,(32) 34665150,cras.central@alemparaiba.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Além Paraíba,CRAS Goiabal (Além Paraíba),CRAS,"Rua Padre Francisco Xavier Butinhá, 240",Goiabal,36660-000,(32) 34665150,cras.goiabal@alemparaiba.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Alfenas,CRAS Central (Alfenas),CRAS,"Avenida Governador Valadares, 505",Centro,37130-000,(35) 999921545,cras.central@alfenas.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Alfenas,CRAS Alvorada (Alfenas),CRAS,"Rua Emilia Pereira Esteves, 280",Jardim Alvorada,37130-000,(35) 32974547,claudineia.pereira@alfenas.mg.gov,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Alfenas,CRAS Campos Eliseos (Alfenas),CRAS,"Rua Paulo Marques de Carvalho, 345",Campos Eliseos,37130-000,(35) 32915129,cras@alfenas.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Alfredo Vasconcelos,CRAS Alfredo Vasconcelos,CRAS,"Avenida Agostinho Bianchetti, 110",Centro,36272-000,(32) 20290011,cras@alfredovasconcelos.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Almenara,CRAS Cidade Nova (Almenara),CRAS,"Avenida Thiago de Souza Carvalho, 365",Cidade Nova,39900-000,(33) 991209423,crascidadenovaalmenara@gmail.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Almenara,CRAS I (Almenara),CRAS,"Avenida Carlyle Guimaraes Cardoso, 194",Tereza Cristina,39900-000,(33) 9806-4556,almenaracrascentral@gmail.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Almenara,CRAS Monte das Oliveiras (Almenara),CRAS,"Rua H, 401",Monte das Oliveiras,39900-000,(33) 988021191,montedasoliveiras@gmial.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Alpercata,CRAS Era Nova (Alpercata),CRAS,"Rua Altino Marques, 98",Era Nova,35138-000,(33) 32362072,social@alpercata.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Alpercata,CRAS Hortêncio Salvador Augusto (Alpercata),CRAS,"Avenida José Alves Pereira, 685",Cidade Nova,35138-000,(33) 32361628,cras@alpercata.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Alpinópolis,CRAS Jose Gabriel dos Santos (Alpinópolis),CRAS,"Rua Rio de Janeiro, 400",Centro,37940-000,(35) 35232719,cras@alpinopolis.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Alterosa,CRAS Casa da Família (Alterosa),CRAS,"Rua Urias Jose Batista, 62",Bela Vista,37145-000,(35) 32942523,cras@alterosa.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Alto Caparaó,CRAS João Custódio da Silva (Alto Caparaó),CRAS,"Avenida Pico da Bandeira, 1199",Independência,36979-000,(32) 37472502,assistenciasocialdealtocaparao@yahoo.com.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
