municipality,name,facility_type,address,neighborhood,cep,phone,email,opening_hours,categories,source
Belo Horizonte,Casa da Mulher Mineira (Belo Horizonte),DEAM,"Avenida Augusto de Lima, 1845",Barro Preto,,(31) 3330-1758,,"Segunda a sexta, 7h às 19h",deam,Relação de DEAMs e endereços - PCMG (2026)
Belo Horizonte,DEAM Belo Horizonte – Plantão 24h,DEAM,"Avenida Bias Fortes, 1451",Barro Preto,,(31) 3330-5710,,"Plantão: noite, fins de semana e feriados, 24h",deam,Relação de DEAMs e endereços - PCMG (2026)
Sabará,DEAM Sabará,DEAM,"Avenida João Pinheiro, 25",Campo Santo Antônio,,(31) 3257-7820,,"Segunda a sexta, 8h30 às 12h e 14h às 18h30",deam,Relação de DEAMs e endereços - PCMG (2026)
Vespasiano,DEAM Vespasiano,DEAM,"Rua Modestino Fonseca Cota, 369",Jardim Itaú,,(31) 3257-7990,,"Segunda a sexta, 8h30 às 12h e 14h às 18h30",deam,Relação de DEAMs e endereços - PCMG (2026)
Betim,DEAM Betim,DEAM,"Rua Cecília Julia do Prado, 255",Centro,,(31) 3438-5905,,"Segunda a sexta, 8h30 às 12h e 14h às 18h30",deam,Relação de DEAMs e endereços - PCMG (2026)
Ibirité,DEAM Ibirité,DEAM,"Rua Otacílio Negrão de Lima, 468",Centro,,(31) 3257-7354,,"Segunda a sexta, 8h30 às 12h e 14h às 18h30",deam,Relação de DEAMs e endereços - PCMG (2026)
Ribeirão das Neves,DEAM Ribeirão das Neves,DEAM,"Rua Luiza Augusta Guimarães, 150",São Pedro,,(31) 3257-7373,,"Segunda a sexta, 8h30 às 12h e 14h às 18h30",deam,Relação de DEAMs e endereços - PCMG (2026)
Santa Luzia,DEAM Santa Luzia,DEAM,"Avenida Brasília, 3550",São Benedito,,(31) 3649-3524,,"Segunda a sexta, 8h30 às 12h e 14h às 18h30",deam,Relação de DEAMs e endereços - PCMG (2026)
Contagem,DEAM Contagem,DEAM,"Rua Capitão Antônio Joaquim da Paixão, 260",Centro,,(31) 3204-1650,,"Segunda a sexta, 8h30 às 12h e 14h às 18h30",deam,Relação de DEAMs e endereços - PCMG (2026)
Juatuba,DEAM Juatuba,DEAM,"Rua Mário Teixeira, 450",Centro,,(31) 3257-7851,,"Segunda a sexta, 8h30 às 12h e 14h às 18h30",deam,Relação de DEAMs e endereços - PCMG (2026)
Nova Lima,DEAM Nova Lima,DEAM,"Rua Joviano Assis Fonseca, 41",Cariocas,,(31) 3257-7984,,"Segunda a sexta, 8h30 às 12h e 14h às 18h30",deam,Relação de DEAMs e endereços - PCMG (2026)
Ouro Preto,DEAM Ouro Preto,DEAM,"Rua Professor Geraldo Nunes, 554",Bauxita,,(31) 3552-6800,,"Segunda a sexta, 8h30 às 12h e 14h às 18h30",deam,Relação de DEAMs e endereços - PCMG (2026)
